country,year,co2,co2_per_capita,population,gdp
China,1960,798.811,1.22,654802068.0,705092990000.0
China,1961,570.641,0.87,655773484.0,577128420000.0
China,1962,459.625,0.691,665073690.0,616503020000.0
China,1963,456.787,0.667,684552646.0,705534390000.0
China,1964,460.644,0.654,704798263.0,804504960000.0
China,1965,500.294,0.692,723415737.0,896126805000.0
China,1966,549.467,0.74,742402206.0,927339400000.0
China,1967,460.233,0.605,761026025.0,933378350000.0
China,1968,495.514,0.634,781011030.0,912372780000.0
China,1969,607.694,0.758,802140341.0,1006175600000.0
China,1970,807.964,0.981,823308964.0,1144004370000.0
China,1971,909.21,1.077,844069870.0,1216237830000.0
China,1972,968.636,1.122,863677810.0,1233564930000.0
China,1973,1008.269,1.142,882576945.0,1334375220000.0
China,1974,1028.063,1.142,900307580.0,1367631650000.0
China,1975,1183.154,1.291,916116796.0,1460733630000.0
China,1976,1226.339,1.318,930372293.0,1413710515000.0
China,1977,1340.715,1.421,943546374.0,1493489265000.0
China,1978,1492.517,1.561,956161482.0,1667551760000.0
China,1979,1525.417,1.574,969288071.0,1801380295000.0
China,1980,1494.298,1.52,983163540.0,1893783550000.0
China,1981,1476.28,1.48,997721072.0,1949955282000.0
China,1982,1606.239,1.585,1013588177.0,2128597968000.0
China,1983,1693.747,1.646,1029064952.0,2278862376000.0
China,1984,1844.213,1.767,1043849645.0,2534000300000.0
China,1985,1997.193,1.884,1059807818.0,2752673760000.0
China,1986,2103.43,1.953,1077233607.0,2931538920000.0
China,1987,2256.629,2.059,1096217445.0,3177306585000.0
China,1988,2424.444,2.174,1115244168.0,3354463350000.0
China,1989,2462.15,2.171,1133991006.0,3380560300000.0
China,1990,2483.534,2.153,1153582725.0,3385121670000.0
China,1991,2619.143,2.237,1170788533.0,3508948004345.0
China,1992,2731.29,2.306,1184574236.0,3755037703201.0
China,1993,2914.284,2.434,1197308574.0,4126169229667.0
China,1994,3093.891,2.559,1209003099.0,4438753488140.0
China,1995,3351.197,2.747,1220133929.0,4809999898743.0
China,1996,3499.311,2.843,1230944809.0,5127589598793.0
China,1997,3512.35,2.83,1241139623.0,5291338914515.0
China,1998,3355.336,2.682,1250847122.0,5338703042331.0
China,1999,3549.949,2.817,1260176650.0,5578503091801.0
China,2000,3643.81,2.87,1269581174.0,5952682232028.0
China,2001,3724.114,2.912,1278725061.0,6329737256820.0
China,2002,4098.181,3.185,1286866835.0,6814493895929.0
China,2003,4835.251,3.735,1294517323.0,7248623080792.0
China,2004,5210.961,4.002,1302100316.0,7830953177799.0
China,2005,5881.991,4.49,1310027135.0,8602939667333.0
China,2006,6486.185,4.921,1318054030.0,9489543138489.0
China,2007,6974.663,5.261,1325813576.0,10358206113742.0
China,2008,7492.404,5.617,1333821011.0,10799148337884.0
China,2009,7881.491,5.871,1342522717.0,11572544299171.0
China,2010,8610.048,6.37,1351561505.0,12858808500983.0
China,2011,9520.153,6.999,1360250658.0,13691526496125.0
China,2012,9767.311,7.132,1369520866.0,14773157494771.0
China,2013,9942.371,7.21,1379008040.0,15925464549520.0
China,2014,9976.027,7.188,1387951970.0,17103948867278.0
China,2015,9858.04,7.061,1396134171.0,18301224436466.0
China,2016,9748.175,6.943,1404052628.0,19545709173693.0
China,2017,10000.014,7.08,1412354730.0,20894362082435.0
China,2018,10346.79,7.292,1419008954.0,22294284747546.0
China,2019,10713.515,7.526,1423520357.0,23631941251482.0
China,2020,10896.521,7.641,1426106093.0,24151843898871.0
China,2021,11284.401,7.911,1426437269.0,26180600167672.0
China,2022,11711.808,8.218,1425179562.0,26966016991166.0
India,1960,111.32,0.255,435990342.0,520800000000.0
